CIG,OGGETTO,AMMINISTRAZIONE APPALTANTE,RUP,DATA PUBBLICAZIONE,DATA AGGIUDICAZIONE,VALORE A BASE D’ASTA,VALORE AGGIUDICAZIONE,TIPOLOGIA CONTRATTO,LOCALIZZAZIONE
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6DEC00E77&next=dettaglio_cig"" target=""_blank"">B6DEC00E77</a></span>",PROT. N 412 - N 414 - N 434,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=06322711216&next=dettaglio_sa"" target=""_blank"">AZIENDA SANITARIA LOCALE NA3 SUD</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6DEC00E77&next=dettaglio_rup"" target=""_blank"">SILVIA PAOLILLO</a></span>",2025-05-15,,2414.6,,FORNITURE,Napoli
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B67ECE81D3&next=dettaglio_cig"" target=""_blank"">B67ECE81D3</a></span>",DMEC.24.0248.A E DMEC.24.0278.A DEPOSITO IT-DE.21.019.A CONCESSIONE EP/US-ME.19.119.A TASSE EP5+IT6,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=80057930150&next=dettaglio_sa"" target=""_blank"">POLITECNICO DI MILANO</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B67ECE81D3&next=dettaglio_rup"" target=""_blank"">IVANO CICERI</a></span>",2025-05-19,2025-03-06,12100.0,12100.0,SERVIZI,Milano
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5DC04254E&next=dettaglio_cig"" target=""_blank"">B5DC04254E</a></span>",2AD 54/2025 METROPOLITANA AUTOMATICA DI TORINO-FORNITURA DI CAVI MECCANICI CON GUAINA PER LA REVISIONE DELLE PORTE PASSEGGERI PER UN LOTTO DI N. 30 VEICOLI NELL'AMBITO DELLA REVISIONE GENERALE DEI VEICOLI VAL208NG ALLA PERCORRENZA DI 1.600.000 KM,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=08555280018&next=dettaglio_sa"" target=""_blank"">G.T.T. GRUPPO TORINESE TRASPORTI SPA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B5DC04254E&next=dettaglio_rup"" target=""_blank"">FABRIZIO BAUSOLA</a></span>",2025-05-19,2025-02-28,27648.0,27648.0,FORNITURE,Torino
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6EBDDEE90&next=dettaglio_cig"" target=""_blank"">B6EBDDEE90</a></span>",ORGANIZZAZIONE VIAGGI DI ISTRUZIONE,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=80007650643&next=dettaglio_sa"" target=""_blank"">ISTITUTO COMPRENSIVO STATALE B. CROCE</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6EBDDEE90&next=dettaglio_rup"" target=""_blank"">MARIA SINISCALCHI</a></span>",2025-05-20,2025-05-19,6440.0,6440.0,SERVIZI,Avellino
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6EC287711&next=dettaglio_cig"" target=""_blank"">B6EC287711</a></span>","(PROG. 13364) COMUNI DI OGLIANICO, FAVRIA, SALASSA, RIVAROLO C.SE, BUSANO, RIVARA E VALPERGA. INTEGRAZIONE ONORARIO DI DIREZIONE LAVORI E CSE (LAV_114379).","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=07937540016&next=dettaglio_sa"" target=""_blank"">SOCIETA' METROPOLITANA ACQUE TORINO S.P.A. IN ALTERNATIVA SMA TORINO S.P.A. OVVERO SMAT S.P.A.</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6EC287711&next=dettaglio_rup"" target=""_blank"">SILVANO IRALDO</a></span>",2025-05-20,2025-05-19,31531.97,31531.97,SERVIZI,Torino
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B814AAB42D&next=dettaglio_cig"" target=""_blank"">B814AAB42D</a></span>",CONTROLLO PERIODICO DEI DISPOSITIVI ANTINCENDIO DEL PORTO DELLA ROVERE E SERVIZIO DI MANUTENZIONE ORDINARIA E STRAORDINARIA. PERIODO 2025 – 2027,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00332510429&next=dettaglio_sa"" target=""_blank"">COMUNE DI SENIGALLIA</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B814AAB42D&next=dettaglio_rup"" target=""_blank"">PAOLA PACI</a></span>",2025-09-02,2025-09-01,15225.0,15225.0,SERVIZI,Ancona
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B574C51BA7&next=dettaglio_cig"" target=""_blank"">B574C51BA7</a></span>",RIUNITI DENTISTICI MAXILLO ,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=03510050127&next=dettaglio_sa"" target=""_blank"">AZIENDA SOCIO SANITARIA TERRITORIALE DEI SETTE LAGHI</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B574C51BA7&next=dettaglio_rup"" target=""_blank"">SILVIA DEL TORCHIO</a></span>",2025-02-04,2025-02-04,6156.0,6156.0,FORNITURE,Varese
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6EE3CED29&next=dettaglio_cig"" target=""_blank"">B6EE3CED29</a></span>",ACCETTAZIONE DELLA PROPOSTA PROGETTUALE TECNICO-ECONOMICA DEL CONSORZIO DEI COMUNI TRENTINI PER LA L'ATTIVAZIONE DELLA APPIO SUI SERVIZI DIGITALI PUBBLICATI NEL NUOVO SITO WEB COMUNALE IN CONFORMITÀ AI REQUISITI PREVISTI DALLA MISURA 1.4.3 DEL PNRR.,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=80004690220&next=dettaglio_sa"" target=""_blank"">COMUNE DI GARNIGA TERME</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6EE3CED29&next=dettaglio_rup"" target=""_blank"">VALERIO LINARDI</a></span>",2025-05-21,2025-05-20,1710.5,1710.5,SERVIZI,Trento
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6F35F6952&next=dettaglio_cig"" target=""_blank"">B6F35F6952</a></span>",ID_XXX_ACQUISTO MATERIALE ENG CLUB,"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=97647200589&next=dettaglio_sa"" target=""_blank"">CENTRO AMMINISTRATIVO D'INTENDENZA - LIBANO</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6F35F6952&next=dettaglio_rup"" target=""_blank"">MARIO ALBANESE</a></span>",2025-05-21,,6241.0,,FORNITURE,
"<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6911B30A6&next=dettaglio_cig"" target=""_blank"">B6911B30A6</a></span>","RINNOVO CONTRATTO PER L'AFFIDAMENTO DEI SERVIZI DI RIPARAZIONE E MANUTENZIONE ORDINARIA E STRAORDINARIA DEI VEICOLI DI PORTATA SUPERIORE A 35 QUINTALI, DEGLI ESCAVATORI E DEI MINI-ESCAVATORI IN DOTAZIONE DI ACQUEVENETE SPA. LOTTO 4 – ESCAVATORI E MINI-ESCAVATORI","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?sa=00064780281&next=dettaglio_sa"" target=""_blank"">ACQUEVENETE S.P.A.</a></span>","<span class=""like-pre""><a class=""link-Cig"" href=""/superset/recaptcha/?cig=B6911B30A6&next=dettaglio_rup"" target=""_blank"">EMILIANO GIRIBUOLA</a></span>",2025-04-18,2025-04-18,30000.0,30000.0,SERVIZI,Padova
